timestamp,symbol,judgement,score,close,rsi14,adx14,atr_pct,vol_ratio
2026-04-13 15:50:46,4055.T,STRONG BUY,10,1716.0,61.85,22.18,4.75,5.61
2026-04-13 15:54:05,3878.T,BUY,5,914.0,58.97,22.28,4.48,1.44
