timestamp,symbol,judgement,score,entry_close,ret_1d_pct,ret_5d_pct,ret_20d_pct
2026-04-13 15:50:46,4055.T,STRONG BUY,10,1716.0,,,
2026-04-13 15:54:05,3878.T,BUY,5,914.0,,,
